# Tag name          ;  color
FM                  ; #c0c0c0
PKP                 ; #c0c0c0
Policja             ; #c0c0c0
Untagged            ; #c0c0c0
70cm                ; #c0c0c0
C4FM                ; #c0c0c0
DMR                 ; #c0c0c0
Air Civ             ; #c0c0c0
Pogotowie           ; #c0c0c0
SP                  ; #c0c0c0
Air Mil             ; #c0c0c0
2m                  ; #c0c0c0

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
   118300000; EPWA TWR                 ; AM                  ;      10000; Air Civ
   168612500;                          ; Narrow FM           ;      10000; Pogotowie
   168625000;                          ; Narrow FM           ;      10000; Pogotowie
   168637500;                          ; Narrow FM           ;      10000; Pogotowie
   168650000;                          ; Narrow FM           ;      10000; Pogotowie
   168662500;                          ; Narrow FM           ;      10000; Pogotowie
   168675000;                          ; Narrow FM           ;      10000; Pogotowie
   168687500;                          ; Narrow FM           ;      10000; Pogotowie
   168700000;                          ; Narrow FM           ;      10000; Pogotowie
   168712500;                          ; Narrow FM           ;      10000; Pogotowie
   168725000;                          ; Narrow FM           ;      10000; Pogotowie
   168737500;                          ; Narrow FM           ;      10000; Pogotowie
   168750000;                          ; Narrow FM           ;      10000; Pogotowie
   168762500;                          ; Narrow FM           ;      10000; Pogotowie
   168775000;                          ; Narrow FM           ;      10000; Pogotowie
   168787500;                          ; Narrow FM           ;      10000; Pogotowie
   168800000;                          ; Narrow FM           ;      10000; Pogotowie
   168812500;                          ; Narrow FM           ;      10000; Pogotowie
   168825000;                          ; Narrow FM           ;      10000; Pogotowie
   168837500;                          ; Narrow FM           ;      10000; Pogotowie
   168850000;                          ; Narrow FM           ;      10000; Pogotowie
   168862500;                          ; Narrow FM           ;      10000; Pogotowie
   168875000;                          ; Narrow FM           ;      10000; Pogotowie
   168887500;                          ; Narrow FM           ;      10000; Pogotowie
   168900000;                          ; Narrow FM           ;      10000; Pogotowie
   168912500;                          ; Narrow FM           ;      10000; Pogotowie
   168925000;                          ; Narrow FM           ;      10000; Pogotowie
   168937500;                          ; Narrow FM           ;      10000; Pogotowie
   168950000;                          ; Narrow FM           ;      10000; Pogotowie
   168962500;                          ; Narrow FM           ;      10000; Pogotowie
   168975000;                          ; Narrow FM           ;      10000; Pogotowie
   168987500;                          ; Narrow FM           ;      10000; Pogotowie
   169000000;                          ; Narrow FM           ;      10000; Pogotowie
   169012500;                          ; Narrow FM           ;      10000; Pogotowie
   169025000;                          ; Narrow FM           ;      10000; Pogotowie
   169037500;                          ; Narrow FM           ;      10000; Pogotowie
   169050000;                          ; Narrow FM           ;      10000; Pogotowie
   169062500;                          ; Narrow FM           ;      10000; Pogotowie
   169075000;                          ; Narrow FM           ;      10000; Pogotowie
   169087500;                          ; Narrow FM           ;      10000; Pogotowie
   169100000;                          ; Narrow FM           ;      10000; Pogotowie
   169112500;                          ; Narrow FM           ;      10000; Pogotowie
   169125000;                          ; Narrow FM           ;      10000; Pogotowie
   169137500;                          ; Narrow FM           ;      10000; Pogotowie
   169150000;                          ; Narrow FM           ;      10000; Pogotowie
   172025000; A01                      ; Narrow FM           ;      10000; Policja
   172050000; A02                      ; Narrow FM           ;      10000; Policja
   172075000; A03                      ; Narrow FM           ;      10000; Policja
   172100000; A04                      ; Narrow FM           ;      10000; Policja
   172125000; A05                      ; Narrow FM           ;      10000; Policja
   172150000; A06                      ; Narrow FM           ;      10000; Policja
   172175000; A07                      ; Narrow FM           ;      10000; Policja
   172200000; A08                      ; Narrow FM           ;      10000; Policja
   172225000; A09                      ; Narrow FM           ;      10000; Policja
   172250000; A10                      ; Narrow FM           ;      10000; Policja
   172275000; A11                      ; Narrow FM           ;      10000; Policja
   172300000; A12                      ; Narrow FM           ;      10000; Policja
   172325000; A13                      ; Narrow FM           ;      10000; Policja
   172350000; A14                      ; Narrow FM           ;      10000; Policja
   172375000; A15                      ; Narrow FM           ;      10000; Policja
   172400000; A16                      ; Narrow FM           ;      10000; Policja
   172425000; A17                      ; Narrow FM           ;      10000; Policja
   172450000; A18                      ; Narrow FM           ;      10000; Policja
   172475000; A19                      ; Narrow FM           ;      10000; Policja
   172500000; A20                      ; Narrow FM           ;      10000; Policja
   172525000; A21 M-Maz                ; Narrow FM           ;      10000; Policja
   172550000; A22 M-Maz, Sulejówek     ; Narrow FM           ;      10000; Policja
   172575000; A23                      ; Narrow FM           ;      10000; Policja
   172600000; A24                      ; Narrow FM           ;      10000; Policja
   172625000; A25                      ; Narrow FM           ;      10000; Policja
   172650000; A26                      ; Narrow FM           ;      10000; Policja
   172675000; A27                      ; Narrow FM           ;      10000; Policja
   172700000; A28                      ; Narrow FM           ;      10000; Policja
   172725000; A29                      ; Narrow FM           ;      10000; Policja
   172750000; A30                      ; Narrow FM           ;      10000; Policja
   172775000; A31                      ; Narrow FM           ;      10000; Policja
   172800000; A32                      ; Narrow FM           ;      10000; Policja
   172825000; A33                      ; Narrow FM           ;      10000; Policja
   172850000; A34                      ; Narrow FM           ;      10000; Policja
   172875000; A35                      ; Narrow FM           ;      10000; Policja
   172900000; A36                      ; Narrow FM           ;      10000; Policja
   172925000; A37                      ; Narrow FM           ;      10000; Policja
   172950000; A38                      ; Narrow FM           ;      10000; Policja
   172975000; A39                      ; Narrow FM           ;      10000; Policja
   173000000; A40                      ; Narrow FM           ;      10000; Policja
   173025000; A41                      ; Narrow FM           ;      10000; Policja
   173050000; A42                      ; Narrow FM           ;      10000; Policja
   173075000; A43                      ; Narrow FM           ;      10000; Policja
   173100000; A44                      ; Narrow FM           ;      10000; Policja
   173125000; A45                      ; Narrow FM           ;      10000; Policja
   173150000; A46                      ; Narrow FM           ;      10000; Policja
   173175000; A47                      ; Narrow FM           ;      10000; Policja
   173200000; A48 Siedlce              ; Narrow FM           ;      10000; Policja
   173225000; A49                      ; Narrow FM           ;      10000; Policja
   173250000; A50                      ; Narrow FM           ;      10000; Policja
   173275000; A51                      ; Narrow FM           ;      10000; Policja
   173300000; A52                      ; Narrow FM           ;      10000; Policja
   173325000; A53                      ; Narrow FM           ;      10000; Policja
   173350000; A54                      ; Narrow FM           ;      10000; Policja
   173375000; A55                      ; Narrow FM           ;      10000; Policja
   173400000; A56                      ; Narrow FM           ;      10000; Policja
   173425000; A57                      ; Narrow FM           ;      10000; Policja
   173450000; A58                      ; Narrow FM           ;      10000; Policja
   173475000; A59                      ; Narrow FM           ;      10000; Policja
   173500000; A60                      ; Narrow FM           ;      10000; Policja
   173525000; A61                      ; Narrow FM           ;      10000; Policja
   173550000; A62                      ; Narrow FM           ;      10000; Policja
   173575000; A63                      ; Narrow FM           ;      10000; Policja
   173600000; A64                      ; Narrow FM           ;      10000; Policja
   173625000; A65                      ; Narrow FM           ;      10000; Policja
   173650000; A66                      ; Narrow FM           ;      10000; Policja
   173675000; A67                      ; Narrow FM           ;      10000; Policja
   173700000; A68                      ; Narrow FM           ;      10000; Policja
   173725000; A69                      ; Narrow FM           ;      10000; Policja
   173750000; A70                      ; Narrow FM           ;      10000; Policja
   173775000; A71                      ; Narrow FM           ;      10000; Policja
   173800000; A72                      ; Narrow FM           ;      10000; Policja
   173825000; A73                      ; Narrow FM           ;      10000; Policja
   173850000; A74                      ; Narrow FM           ;      10000; Policja
   173875000; A75                      ; Narrow FM           ;      10000; Policja
   173900000; A76                      ; Narrow FM           ;      10000; Policja
   173925000; A77                      ; Narrow FM           ;      10000; Policja
   173950000; A78                      ; Narrow FM           ;      10000; Policja
   173975000; A79                      ; Narrow FM           ;      10000; Policja
   174000000; A80                      ; Narrow FM           ;      10000; Policja
   278575000; EPMM APP                 ; Narrow FM           ;      10000; Air Mil
   279075000; EPMM TWR                 ; Narrow FM           ;      10000; Air Mil
   438337500; SR5WAD                   ; Narrow FM           ;      10000; 70cm,DMR
   438462500; SR5WWL                   ; Narrow FM           ;      10000; 70cm
   438500000; SR5WW                    ; Narrow FM           ;      10000; 70cm,C4FM
   438550000; SR5WB                    ; Narrow FM           ;      10000; 70cm,DMR
   438775000; SR5WU                    ; Narrow FM           ;      10000; 70cm,DMR
   438887500; SR5MDV                   ; Narrow FM           ;      10000; 70cm,DMR
   438900000; SR5WI                    ; Narrow FM           ;      10000; 70cm,C4FM
   438950000; SR5MM                    ; Narrow FM           ;      10000; 70cm,FM
   439000000; SR5WZ                    ; Narrow FM           ;      10000; 70cm,FM
   439250000; SR5ZIP                   ; Narrow FM           ;      10000; 70cm,FM
   439275000; SR5RR                    ; Narrow FM           ;      10000; 70cm,FM
   439425000; SR5ND                    ; Narrow FM           ;      10000; 70cm,FM
   439537500; SR0DZ                    ; Narrow FM           ;      10000; 70cm,FM
